0	3.64257
0.693147	3.51681
1.09861	3.3734
1.38629	3.21433
1.60944	3.0453
1.79176	2.87816
1.94591	2.73193
2.07944	2.62687
2.19722	2.57058
2.30259	2.52114
2.3979	2.46653
2.48491	2.41859
2.56495	2.36689
2.63906	2.32959
2.70805	2.29223
2.77259	2.25698
2.83321	2.22401
2.89037	2.18947
2.94444	2.15994
2.99573	2.1286
3.04452	2.10105
3.09104	2.0756
3.13549	2.05042
3.17805	2.024
3.21888	1.99752
3.2581	1.97162
3.29584	1.94753
3.3322	1.92228
3.3673	1.90011
3.4012	1.87696
3.43399	1.85774
3.46574	1.83775
3.49651	1.81701
3.52636	1.79594
3.55535	1.77503
3.58352	1.75333
3.61092	1.7313
3.63759	1.70949
3.66356	1.6894
3.68888	1.66859
3.71357	1.64708
3.73767	1.62486
3.7612	1.60429
3.78419	1.5829
3.80666	1.56056
3.82864	1.53726
3.85015	1.51462
3.8712	1.4911
3.89182	1.46648
3.91202	1.44063
3.93183	1.41397
3.95124	1.38915
3.97029	1.36318
3.98898	1.33684
4.00733	1.30985
4.02535	1.28187
4.04305	1.25276
4.06044	1.22194
4.07754	1.19022
4.09434	1.15663
4.11087	1.12087
4.12713	1.0829
4.14313	1.04203
4.15888	1.00376
4.17439	0.963295
4.18965	0.922831
4.20469	0.881314
4.21951	0.836812
4.23411	0.79258
4.2485	0.744827
4.26268	0.693016
4.27667	0.635917
4.29046	0.584608
4.30407	0.532677
4.31749	0.477179
4.33073	0.420665
4.34381	0.36172
4.35671	0.302493
4.36945	0.240052
4.38203	0.169291
4.39445	0.0990356
4.40672	0.0176658
4.41884	-0.0775642
4.43082	-0.175095
4.44265	-0.265981
4.45435	-0.357046
4.46591	-0.461439
4.47734	-0.564447
4.48864	-0.690713
4.49981	-0.85407
4.51086	-0.990555
4.52179	-1.15752
4.5326	-1.32355
4.54329	-1.56635
4.55388	-1.91492
4.56435	-29.0876
4.57471	-29.0876
4.58497	-29.0876
4.59512	-29.0876
